Team,W,D,L,GF,GA,,points,position
Arsenal,24,7,7,68,41,,79,4
Aston Villa,10,8,20,39,61,,50,16
Cardiff City,7,9,22,32,74,,43,19
Chelsea,25,7,6,71,27,,81,3
Crystal Palace,13,6,19,33,48,,58,7
Everton,21,9,8,61,39,,71,6
Fulham,9,5,24,40,85,,51,13
Hull City,10,7,21,38,53,,51,13
Liverpool,26,6,6,101,50,,84,2
Manchester City,27,5,6,102,37,,87,1
Manchester United,19,7,12,64,43,,69,7
Newcastle United,15,4,19,43,59,,64,8
Norwich City,8,9,21,28,62,,45,18
Southampton,15,11,12,54,46,,57,10
Stoke City,13,11,14,45,52,,53,11
Sunderland,10,8,20,41,60,,50,16
Swansea City,11,9,18,54,54,,51,13
Tottenham Hotspur,21,6,11,55,51,,74,5
West Bromwich Albion,7,15,16,43,59,,37,20
West Ham United,11,7,20,40,51,,53,11
